"date","subject","topic"
"01/07/2026","ENGLISH","Unit 2 - Meet My Family (Continuation)"
"01/07/2026","ENGLISH","Unit 3 - Tracy's Shoes"
"01/07/2026","ENGLISH","Reading: Unit 3 - Tracy's Shoes"
"01/07/2026","GRAMMAR","Unit 2 - More about Naming words"
"01/07/2026","MATHS","Addition and Subtraction upto 20"
"01/07/2026","GENERAL AWARENESS","My Sense Organs (Continuation)"
"01/07/2026","GENERAL AWARENESS","Chapter 4 - I Keep My Body Clean"
"01/07/2026","GENERAL AWARENESS","Chapter 5 - My Family (Revision)"
"01/07/2026","HINDI","Shabd Rachna (Word formation)"
"01/07/2026","HINDI","Aa ki matra (Vowel sign aa)"
"01/07/2026","HINDI","E ki matra (Vowel sign i)"
"01/07/2026","HINDI","Punarvartan (Revision)"
"01/07/2026","KANNADA","Pada Odu Akshara Kali (Read words, learn letters)"
"01/07/2026","KANNADA","Aksharabhyasa Ga to E (Letter practice ga to e)"
"01/07/2026","KANNADA","Padya - Otada Aata (Poem: Running Game)"
"01/07/2026","KANNADA","Varnagala Parichaya A to La (Introduction to letters a to la)"
"01/07/2026","KANNADA","Ottaksharagalu Kka to Lla (Conjunct letters kka to lla)"
"01/07/2026","KANNADA","Ottakshara Vidhagalu (Types of conjunct letters)"
"01/07/2026","KANNADA","Punaravartane (Revision)"
"01/07/2026","COMPUTER","Module 2 - Operating a Computer"
