"date","subject","topic"
"01/06/2026","ENGLISH","Chapter 1 - If You Are Happy"
"01/06/2026","ENGLISH","Chapter 2 - Meet My Family (Introduction)"
"01/06/2026","ENGLISH","Poem: If You Are Happy"
"01/06/2026","GRAMMAR","Chapter 1 - Naming words"
"01/06/2026","GRAMMAR","Chapter 2 - More about Naming words"
"01/06/2026","MATHS","Pre-Number concept (continuation)"
"01/06/2026","MATHS","Numbers 0 to 20"
"01/06/2026","GENERAL AWARENESS","My Self (Continuation)"
"01/06/2026","GENERAL AWARENESS","My Body"
"01/06/2026","GENERAL AWARENESS","My Sense Organs"
"01/06/2026","HINDI","Vyanjan (क - श)"
"01/06/2026","HINDI","Do varnon wale shabd"
"01/06/2026","HINDI","Teen varnon wale shabd"
"01/06/2026","HINDI","Char varnon wale shabd"
"01/06/2026","KANNADA","Varnamale (ಅ-ಳ)"
"01/06/2026","KANNADA","ಮುಂದಿನ ಹಿಂದಿನ ಮಧ್ಯದ ಅಕ್ಷರಗಳು"
"01/06/2026","KANNADA","ಪದ್ಯ - ಓ ವಂದನೆ"
"01/06/2026","COMPUTER","Module 3 - Parts of a Computer"
